#{"t_start": 1757053935.2057338, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
505.0,5081,17548.72446
765.0,4507,17562.04264
285.0,2615,17570.023884
90.0,1865,17575.642702
465.0,3251,17585.267129
425.0,4605,17599.696318
215.0,3247,17611.255903
220.0,2615,17620.096525
390.0,3882,17632.293394
250.0,2319,17639.274964
395.0,3519,17649.794508
155.0,2969,17659.178161
405.0,4469,17672.838775
515.0,2873,17681.76494
955.0,5876,17699.960698
510.0,2903,17708.737039
435.0,4809,17723.542833
470.0,4701,17738.076046
430.0,3015,17747.290432
540.0,3663,17758.588282
405.0,3711,17770.154528
510.0,4217,17783.520545
320.0,2493,17791.246198
635.0,4153,17807.912114
330.0,2836,17816.223369
545.0,5093,17832.170796
290.0,3441,17842.87583
765.0,7669,17866.29339
230.0,2917,17875.43631
710.0,4049,17888.280957
365.0,4615,17902.467025
260.0,3099,17911.727008
50.0,1547,17916.166263
495.0,4491,17929.987825
290.0,2693,17938.240918
450.0,3443,17948.431593
480.0,4465,17962.029027
320.0,2113,17968.389185
285.0,2363,17975.370799
230.0,2989,17984.525139
150.0,1555,17989.163598
205.0,2109,17995.485487
315.0,2253,18002.418591
595.0,4099,18014.89695
375.0,3233,18024.690151
215.0,2751,18033.008193
170.0,2409,18040.087221
445.0,3391,18050.545472
335.0,2989,18060.123482
55.0,1687,18065.175757
260.0,2603,18073.282661
435.0,2813,18082.082067
300.0,3167,18092.261011
155.0,2247,18099.710684
300.0,2976,18109.697597
150.0,1895,18121.269617
185.0,2655,18129.268624
415.0,3139,18138.754923
490.0,3244,18148.301694
335.0,3062,18157.880058
505.0,4919,18172.7958
365.0,4037,18184.98704
425.0,3305,18195.621318
480.0,4193,18209.35594
275.0,2561,18217.880873
110.0,1975,18224.100416
270.0,2611,18232.472988
455.0,4317,18245.576195
345.0,2649,18253.996996
345.0,3259,18264.422199
475.0,3187,18274.655031
585.0,4247,18288.187503
345.0,3493,18298.884417
235.0,2193,18305.47612
380.0,3107,18314.691584
125.0,1563,18319.665611
295.0,3483,18330.824713
435.0,2915,18340.68526
350.0,2497,18348.593762
520.0,4853,18363.381035
200.0,2477,18370.948197
260.0,3469,18381.392041
645.0,5689,18398.839979
460.0,3583,18409.939895
615.0,4629,18424.728166
330.0,3467,18444.105311
645.0,4021,18457.07228
605.0,5565,18475.506944
570.0,5081,18491.515511
540.0,5013,18506.954756
700.0,4479,18521.166094
285.0,2779,18530.382768
575.0,6419,18550.987713
390.0,3429,18562.020211
400.0,4119,18575.201331
460.0,4389,18589.646355
355.0,3831,18601.485861
790.0,4397,18615.785242
470.0,4123,18628.667731
400.0,4401,18642.344975
435.0,5237,18658.615902
585.0,5587,18675.763222
415.0,3987,18688.285898
320.0,2913,18697.271141
315.0,3031,18706.882574
580.0,4570,18720.565786
335.0,2916,18729.529945
605.0,5367,18745.523068
375.0,2629,18753.641214
615.0,4313,18773.74389
365.0,2903,18782.684006
365.0,2497,18790.368921
320.0,3187,18799.924535
600.0,5845,18817.804444
710.0,7099,18839.480638
655.0,4355,18852.897199
625.0,3911,18864.630495
665.0,5073,18880.017918
375.0,3561,18890.70196
845.0,7859,18915.015169
315.0,2741,18923.196722
210.0,2447,18930.27547
240.0,3397,18941.033387
725.0,5673,18958.369403
635.0,4715,18972.525352
710.0,4501,18986.07895
280.0,2863,18994.732669
380.0,4249,19007.778788
390.0,3635,19019.208756
725.0,4613,19035.012886
335.0,2875,20122.027069
515.0,4121,20151.096116
270.0,2689,20164.300893
270.0,2944,21180.443103
285.0,2916,21200.358443
660.0,5965,22292.79343
600.0,5531,23625.927869
265.0,3281,23641.226615
190.0,2971,23654.7087
355.0,3180,23902.085813
330.0,2412,23913.933466
315.0,3114,23928.823352
600.0,5727,23957.209275
490.0,2670,23969.450769
350.0,3127,23984.096691
470.0,3627,24001.137546
295.0,2527,24013.271699
390.0,2685,24025.023997
485.0,4493,25481.775212
835.0,4693,25499.974223
650.0,5455,25529.687513
555.0,3923,26302.424563
360.0,2455,26314.682987
600.0,4443,26335.696653
425.0,4017,26356.846007
935.0,7109,26379.54133
270.0,3117,26389.546622
360.0,3253,26400.716963
510.0,4347,26413.972207
710.0,3481,26425.092179
225.0,2063,26438.796643
330.0,3695,26450.135648
585.0,3579,26461.555426
430.0,4231,26474.620109
280.0,3233,26484.712403
575.0,4069,26497.815611
510.0,3719,26509.432818
705.0,5231,26526.085308
415.0,4037,26538.719122
250.0,2957,26547.721017
265.0,2937,26556.576145
370.0,3119,26566.324016
525.0,4147,26579.104578
460.0,3233,26589.740619
515.0,2807,26598.534224
715.0,4657,26613.997811
605.0,2473,26621.887403
320.0,2655,26630.387228
495.0,4023,26643.004779
420.0,3463,26653.727866
520.0,4281,26667.242593
260.0,2739,26675.633747
450.0,3187,26685.85405
735.0,3607,26697.179125
615.0,3683,26708.278871
305.0,2901,26717.14135
300.0,2540,26725.395204
505.0,3597,26736.945228
370.0,2845,26745.615979
420.0,4589,26765.310798
470.0,3941,26777.485795
335.0,2591,26785.732166
585.0,3661,26797.294478
700.0,4791,26812.375439
835.0,4025,26824.688327
260.0,2209,26831.518171
630.0,4003,26843.685808
365.0,3001,26855.426974
705.0,5325,26872.73521
755.0,7685,26896.77353
650.0,3797,26908.222844
440.0,4493,26922.005367
495.0,3999,26934.185829
535.0,3331,26944.477705
445.0,4845,26960.21683
340.0,2668,26968.567726
450.0,4203,26983.660858
325.0,2299,26993.691663
660.0,3771,27007.683283
310.0,2573,27017.463639
800.0,5603,27036.876011
520.0,4403,27052.559322
470.0,3453,27064.585843
460.0,3807,27077.022729
570.0,4113,27092.390537
455.0,5111,27120.405536
720.0,5777,27138.953842
285.0,2751,27147.748182
525.0,2845,27156.682956
600.0,4089,27169.475671
260.0,3631,27180.971248
575.0,4795,27196.231957
575.0,5149,27212.350029
765.0,5441,27229.585764
630.0,2732,27238.026964
360.0,3254,27248.109813
510.0,3531,27259.112528
600.0,3495,27269.981775
585.0,4247,27283.526463
435.0,4307,27297.016707
555.0,4985,27312.73601
805.0,4767,27327.407247
490.0,2975,27336.616153
550.0,3713,27348.320693
400.0,2889,27357.220433
440.0,2431,27364.431397
715.0,4113,27377.561589
270.0,2611,27385.420639
420.0,3205,27395.248092
605.0,2979,27404.428781
600.0,4419,27418.195142
550.0,3556,27435.757605
555.0,4761,27450.597108
335.0,4161,27463.389551
315.0,2411,27470.933231
370.0,2579,27478.846246
345.0,2723,27487.249983
265.0,2835,27495.845141
130.0,2053,27502.144387
695.0,5333,27518.70881
420.0,3501,27529.778652
725.0,3555,27541.008382
545.0,3855,27553.307076
315.0,3051,27562.769596
710.0,4931,27578.13796
350.0,3251,27588.470216
315.0,2863,27597.392336
480.0,3389,27608.157846
540.0,3391,27619.357805
680.0,4209,27632.975452
505.0,3109,27642.617362
505.0,3607,27654.267084
525.0,4061,27666.981694
575.0,3693,27679.038877
800.0,4601,27694.992038
490.0,4375,27708.951306
310.0,2535,27716.948915
600.0,4289,27730.086715
430.0,3757,27741.690672
355.0,2519,27749.308588
880.0,4369,27769.839607
670.0,4165,27783.410515
535.0,3623,27794.393735
445.0,3243,27804.579816
685.0,4059,27817.34824
440.0,3065,27827.298211
390.0,3307,27837.541739
555.0,3545,27848.270345
365.0,2847,27856.972616
545.0,3965,27869.179425
600.0,5897,27887.656088
760.0,3467,27898.413349
485.0,5051,27914.271633
400.0,3615,27925.639201
530.0,4651,27939.700626
805.0,3851,27951.801214
720.0,4726,27966.69105
515.0,3715,27977.966889
770.0,4507,27991.835095
455.0,3445,28002.424284
600.0,5563,28019.662399
490.0,3731,28031.184242
725.0,3457,28041.818323
495.0,3743,28053.223901
600.0,4133,28066.421768
315.0,3367,28082.71924
530.0,3185,28092.493663
505.0,3915,28104.832386
210.0,2591,28112.928808
510.0,3327,28123.432432
405.0,3979,28135.909454
520.0,4724,28150.469215
530.0,2455,28158.173267
360.0,2783,28166.848726
645.0,4103,28179.394309
1080.0,6219,28198.81725
570.0,3922,28210.962034
335.0,2919,28219.747531
475.0,3887,28231.785692
555.0,3876,28243.526903
705.0,3919,28255.978097
470.0,4235,28269.069105
125.0,1929,28274.934205
660.0,4761,28289.524429
305.0,2369,28297.037609
450.0,3925,28309.252924
500.0,3281,28319.294352
525.0,3829,28331.098784
295.0,2511,28338.6584
275.0,2569,28346.613968
315.0,3101,28356.251418
360.0,2539,28363.942822
520.0,3927,28376.215197
660.0,2988,28385.577422
580.0,4031,28403.635129
385.0,2497,28411.304788
450.0,3365,28421.749881
680.0,4113,28434.627144
1105.0,6321,28454.348235
545.0,3875,28466.53653
785.0,3848,28478.391018
640.0,3587,28489.463209
555.0,3365,28499.960995
305.0,2429,28507.583138
840.0,6645,28527.958389
470.0,4105,28540.661424
460.0,3661,28552.162825
245.0,3065,28561.57811
505.0,3647,28573.308132
545.0,4349,28587.058427
745.0,4223,28600.195287
545.0,4235,28613.557921
800.0,3887,28625.565656
870.0,3709,28636.887183
600.0,4401,28650.500801
755.0,4281,28663.807651
455.0,3061,28673.449823
720.0,5645,28690.792525
805.0,4051,28703.221577
530.0,3783,28721.244938
540.0,4211,28734.492366
525.0,4115,28747.207819
515.0,3399,28757.620286
480.0,3323,28768.074609
490.0,3281,28778.194394
735.0,5405,28795.160209
390.0,3983,28807.552837
545.0,3977,28819.782341
470.0,3023,28829.154157
570.0,3600,28840.305496
585.0,3570,28851.50638
450.0,3645,28862.883811
240.0,2317,28869.858722
755.0,3592,28881.055937
725.0,3744,28893.164718
620.0,4313,28906.764589
500.0,3763,28918.308959
600.0,4217,28931.405221
745.0,3998,28944.06842
660.0,3249,28954.228572
395.0,2701,28962.781811
430.0,3941,28975.20644
325.0,3001,28984.627303
775.0,4355,28998.292614
600.0,4839,29013.189743
695.0,3551,29024.214884
500.0,3989,29043.753876
500.0,3605,29054.654135
415.0,2913,29063.714878
710.0,6069,29082.832169
455.0,4039,29095.115629
320.0,3135,29105.197399
350.0,2263,29112.400347
600.0,4623,29126.582462
540.0,4434,29140.200546
515.0,4231,29153.599311
460.0,2703,29161.900155
385.0,4021,29174.299293
445.0,3825,29186.234438
530.0,2529,29194.326434
355.0,3909,29206.486608
715.0,3808,29218.507032
370.0,4377,29232.272163
240.0,3137,29241.988747
545.0,4926,29257.252313
750.0,4353,29270.807786
745.0,3965,29283.198377
325.0,2999,29292.462686
640.0,4017,29304.817912
340.0,3201,29314.889195
310.0,2599,29322.911794
545.0,4237,29336.387424
265.0,3519,29347.29236
545.0,4066,29370.291854
575.0,3408,29381.313547
370.0,3051,29391.041765
280.0,2988,29400.751913
380.0,3625,29412.323717
1490.0,7889,29437.433569
760.0,6125,29457.725457
520.0,3104,29467.900316
500.0,3535,29479.153549
600.0,3449,29490.064222
545.0,4079,29503.152954
485.0,3169,29513.387155
405.0,2307,29520.302421
600.0,3667,29532.0341
575.0,4271,29545.147445
910.0,5773,29563.6554
615.0,4229,29577.060827
495.0,5941,29595.544489
480.0,3537,29606.629643
520.0,4621,29620.946402
690.0,4705,29635.591229
635.0,4009,29648.175467
515.0,4452,29661.96665
520.0,4649,29676.385673
450.0,4157,29696.361385
175.0,2451,29703.847738
295.0,2657,29712.176918
600.0,4487,29726.096738
600.0,6123,29745.22654
520.0,3701,29757.063378
490.0,3687,29768.631795
770.0,4577,29783.192234
535.0,3547,29794.274869
490.0,4129,29807.533957
1205.0,10011,29838.511132
770.0,4219,29851.728231
525.0,3101,29861.243229
545.0,4286,29874.494991
735.0,5117,29890.247047
525.0,4481,29904.270676
400.0,3684,29915.64081
970.0,4286,29929.052783
545.0,4654,29943.77198
905.0,5653,29961.374783
325.0,3081,29971.14451
365.0,2941,29980.193073
600.0,3675,29991.876364
570.0,3963,30004.02372
540.0,3523,30020.671653
490.0,3837,30032.652442
605.0,4181,30045.65231
540.0,3947,30058.068185
615.0,3149,30067.932257
545.0,4419,30081.682591
545.0,3521,30092.745537
500.0,3865,30104.380408
470.0,3601,30115.651191
575.0,4210,30128.757249
725.0,3697,30140.07226
450.0,3281,30150.128246
600.0,4301,30163.42444
470.0,4247,30176.733607
680.0,4193,30189.848009
225.0,2385,30197.377998
600.0,3719,30208.952145
505.0,3765,30220.528327
600.0,4975,30236.145959
1070.0,6959,30257.696115
570.0,4427,30271.478397
500.0,4535,30286.169187
485.0,4147,30299.056363
475.0,4195,30312.003682
490.0,4423,30325.726769
480.0,4529,30347.503421
475.0,4093,30360.245023
975.0,4917,30375.57106
700.0,4697,30390.182533
295.0,2683,30398.354635
1325.0,9317,30427.618892
515.0,4729,30442.436066
600.0,3359,30452.792754
350.0,3223,30462.668396
800.0,4719,30477.512107
800.0,4865,30492.49241
425.0,2909,30501.271269
715.0,4065,30513.689623
575.0,3331,30523.856104
520.0,4345,30537.388205
1260.0,6511,30557.542141
785.0,4889,30572.70465
775.0,4361,30585.996554
545.0,3975,30598.470774
800.0,4583,30612.56095
335.0,2923,30621.640182
380.0,3414,30632.03874
600.0,4331,30645.499514
540.0,4129,30666.867049
1015.0,6729,30687.940314
775.0,4344,30701.455435
575.0,4018,30714.040468
545.0,4004,30726.353552
570.0,4677,30740.775139
755.0,4653,30754.973218
640.0,4327,30768.320307
370.0,2945,30777.442581
640.0,4449,30791.079881
210.0,2679,30799.339691
525.0,4305,30812.66073
500.0,3477,30823.455689
525.0,4418,30836.927768
470.0,4137,30849.627997
1380.0,7473,30872.995
800.0,3715,30884.354616
375.0,2565,30892.393927
570.0,4251,30905.415129
650.0,3361,30915.716988
465.0,3553,30926.611445
605.0,4063,30939.213965
745.0,4230,30952.519917
570.0,4385,30965.849016
610.0,4241,30986.540865
515.0,3450,30997.377233
800.0,4267,31010.702572
605.0,4439,31024.431705
575.0,4529,31038.536834
485.0,3987,31050.751759
515.0,4295,31064.12733
600.0,3703,31075.581644
600.0,3713,31087.307225
1215.0,6635,31108.217413
385.0,3769,31120.13029
615.0,4051,31132.971911
570.0,3790,31144.48467
325.0,2677,31152.821248
740.0,4595,31167.1426
575.0,4637,31181.458976
775.0,4275,31195.658084
805.0,3555,31212.058812
800.0,3901,31224.69945
460.0,3483,31235.520951
720.0,5015,31251.208743
1805.0,8941,31279.50898
600.0,4295,31292.802767
935.0,6695,31320.450562
570.0,3367,31330.693225
1205.0,7337,31353.923188
600.0,3921,31366.108142
540.0,4508,31379.996247
415.0,3289,31390.259158
605.0,4555,31404.373527
740.0,3833,31416.31084
600.0,3697,31428.177474
775.0,4344,31441.732482
800.0,5213,31458.162453
550.0,4142,31470.831319
580.0,4430,31484.736562
530.0,4403,31498.403275
575.0,3542,31509.32989
495.0,3729,31520.976548
600.0,3843,31532.955189
575.0,4187,31545.905108
805.0,4449,31559.704391
800.0,4937,31574.962531
425.0,3464,31585.566004
575.0,3905,31597.67422
800.0,4361,31611.136961
1000.0,4101,31630.155499
725.0,4169,31643.244101
575.0,3801,31655.113204
515.0,4013,31667.911908
600.0,4761,31682.422487
695.0,4457,31696.107526
645.0,3153,31705.801324
575.0,4457,31719.900893
455.0,3727,31731.821437
545.0,4937,31747.165055
545.0,4365,31760.675341
1445.0,7188,31782.892166
600.0,3827,31794.880946
550.0,3217,31804.822931
505.0,3415,31815.341743
1125.0,5507,31832.415702
600.0,5369,31849.428275
695.0,3525,31860.248888
655.0,5853,31879.114833
460.0,3559,31890.225785
610.0,3927,31902.632407
545.0,4718,31918.311175
490.0,4287,31931.474444
360.0,2732,31948.148559
850.0,5819,31966.98494
550.0,3904,31979.259149
600.0,4657,31993.768915
525.0,3861,32005.746238
525.0,3951,32018.360621
745.0,3591,32029.513656
600.0,3519,32040.334585
545.0,3488,32050.999589
615.0,3173,32060.833495
315.0,2561,32068.817933
450.0,3941,32080.903419
1055.0,7357,32104.071983
600.0,4087,32116.507694
390.0,3669,32128.042208
600.0,3717,32139.484291
320.0,2817,32148.347431
715.0,4113,32160.931026
545.0,3977,32173.534504
515.0,3841,32185.305568
555.0,4056,32197.931345
560.0,3641,32209.364897
535.0,3439,32219.820959
600.0,3583,32230.941142
560.0,4155,32243.8931
940.0,5905,32269.305031
550.0,3927,32281.327719
705.0,4751,32296.159577
460.0,3665,32307.791697
570.0,4621,32322.182671
435.0,3693,32333.952549
1080.0,8031,32358.892303
515.0,4053,32371.43171
600.0,4401,32385.302643
360.0,3529,32396.233784
515.0,3499,32407.1928
325.0,3169,32416.991183
520.0,3941,32429.152672
805.0,3879,32440.975329
605.0,4425,32454.969459
580.0,4429,32468.585452
700.0,5049,32484.111186
575.0,3723,32495.3787
655.0,3793,32507.261078
405.0,2775,32515.772613
570.0,4055,32528.422892
530.0,4759,32542.840479
725.0,4293,32556.141327
545.0,3888,32568.391322
600.0,4433,32581.799423
860.0,6797,32610.461392
575.0,4083,32623.08434
675.0,4347,32636.27683
575.0,4133,32649.043428
715.0,4501,32662.83441
545.0,3898,32675.034915
605.0,3685,32686.298429
485.0,4181,32699.3305
725.0,4831,32714.067369
745.0,4293,32727.248984
705.0,2977,32736.262966
910.0,6255,32755.683539
570.0,4283,32768.905823
600.0,5075,32784.366101
800.0,4069,32796.830714
490.0,3943,32809.274911
605.0,3605,32820.434432
600.0,4419,32833.993065
570.0,4885,32849.081524
805.0,4009,32861.160435
580.0,3031,32870.745824
395.0,3416,32881.104594
430.0,2369,32888.507616
720.0,5313,32910.496532
795.0,5669,32928.212092
455.0,4997,32943.478848
545.0,4652,32957.843926
600.0,4971,32973.017229
800.0,3921,32985.192381
605.0,3945,32997.573351
1075.0,6825,33019.163767
805.0,4625,33033.611237
545.0,3984,33046.525364
745.0,3244,33056.617694
600.0,4273,33069.997499
745.0,4259,33083.475468
745.0,4558,33097.692581
545.0,3230,33109.560195
520.0,3407,33125.292484
745.0,3903,33137.763159
950.0,4304,33151.499906
605.0,4077,33164.612226
805.0,3877,33177.02182
745.0,3564,33188.474729
400.0,3957,33201.014784
800.0,4311,33214.793434
935.0,8143,33248.612645
675.0,5899,33267.415795
545.0,3486,33278.397618
360.0,2625,33286.528044
775.0,4713,33301.571226
395.0,3485,33312.747475
545.0,4731,33327.780479
570.0,3885,33340.00004
545.0,3513,33351.164084
600.0,3961,33363.816428
320.0,2747,33372.462687
1320.0,7627,33396.81619
935.0,6555,33417.871495
545.0,3116,33427.561087
600.0,3739,33439.323169
1135.0,7125,33461.635989
545.0,4087,33474.527882
1105.0,6385,33494.676092
1060.0,7063,33516.914957
545.0,3382,33527.793346
600.0,3977,33540.477455
470.0,3481,33551.477735
545.0,3794,33571.925982
395.0,3173,33581.977803
515.0,5019,33597.984381
775.0,4147,33611.010621
495.0,3501,33622.012184
495.0,3681,33633.647288
490.0,4013,33646.386892
780.0,4448,33660.412182
800.0,4637,33674.986818
605.0,3237,33685.083856
1535.0,7625,33709.051652
830.0,4571,33723.335522
495.0,3245,33733.541174
555.0,4427,33747.493562
1150.0,6417,33767.938589
490.0,3949,33780.483746
335.0,2713,33789.010323
600.0,4259,33802.682836
600.0,4133,33815.744832
600.0,3501,33826.862444
605.0,3557,33838.246302
770.0,3493,33849.271704
550.0,5333,33865.870802
545.0,3526,33876.987388
545.0,3520,33894.270991
515.0,3925,33907.30481
440.0,4479,33922.79197
1100.0,6785,33946.038809
570.0,3609,33958.142472
510.0,2961,33968.03053
455.0,4027,33981.600244
385.0,3379,33992.865385
805.0,4591,34008.301772
285.0,2421,34016.424402
600.0,3727,34029.373616
965.0,6987,34057.841314
520.0,3680,34070.711403
570.0,3819,34083.758063
570.0,3971,34096.847328
465.0,3929,34110.193217
600.0,3925,34123.615969
540.0,3647,34136.772181
500.0,3747,34149.494945
500.0,3329,34161.185086
800.0,3447,34172.912126
550.0,3028,34182.964325
570.0,4119,34196.804498
445.0,3723,34209.294076
570.0,3987,34222.67363
1100.0,6881,34253.202139
630.0,3007,34262.994911
1610.0,7279,34287.428915
550.0,4219,34301.809162
430.0,2755,34311.596585
630.0,4707,34328.11806
705.0,4233,34342.880893
770.0,4509,34358.440385
605.0,4087,34372.387545
1200.0,6042,64170.487834
2010.0,11031,64211.71472
515.0,4073,64229.59808
545.0,3788,64243.204995
495.0,3025,64253.093908
1100.0,6863,64278.529499
545.0,4112,64291.038737
630.0,3831,64303.821345
880.0,6270,64324.701133
515.0,3959,64337.768124
1280.0,6873,64360.6165
740.0,3450,64371.247581
735.0,4065,64390.276017
775.0,4203,64403.340404
540.0,3958,64416.134114
720.0,3477,64426.992532
900.0,6005,64445.636968
580.0,3137,64455.655493
485.0,3917,64467.381916
895.0,6238,64487.10301
570.0,3507,64497.897086
1130.0,5645,64515.347451
630.0,4585,64529.772281
610.0,3717,64541.62402
575.0,4760,64556.662844
415.0,2567,64565.091422
910.0,5893,64583.683584
465.0,3713,64595.773301
865.0,6489,64615.86898
600.0,4321,64629.031532
785.0,5835,64646.877767
540.0,4335,64660.322265
450.0,3893,64672.046177
775.0,3875,64683.796011
600.0,4381,64702.688576
1005.0,3845,64714.298238
1120.0,7241,64736.122951
575.0,3657,64747.157747
895.0,6348,64766.608514
545.0,4316,64780.075624
1365.0,6137,64798.554629
570.0,4795,64813.323316
570.0,4583,64827.234501
880.0,6057,64846.515789
570.0,4327,64860.157887
570.0,4153,64873.396973
1400.0,7655,64897.422315
545.0,3571,64908.637691
480.0,2913,64917.405991
395.0,2430,64924.938134
570.0,4527,64938.667985
1510.0,6713,64959.305357
575.0,3865,64970.95785
520.0,3579,64982.121275
520.0,4017,64994.670388
250.0,2743,65003.324114
1005.0,4677,65026.505907
1000.0,4063,65039.077817
600.0,3927,65051.175408
1280.0,6266,65070.606691
530.0,4141,65083.318025
1175.0,7439,65106.475857
770.0,3582,65117.660428
785.0,3825,65129.293847
355.0,2691,65137.213845
770.0,4209,65149.877476
470.0,3833,65161.228375
605.0,4449,65175.139748
520.0,4557,65189.091516
665.0,3553,65199.903794
520.0,3924,65211.568538
605.0,4161,65224.856091
605.0,4213,65237.559833
200.0,1991,65243.591282
630.0,3935,65255.313039
580.0,4579,65269.229509
460.0,3127,65278.60013
545.0,3187,65288.170698
445.0,3505,65298.751097
495.0,3869,65310.389955
605.0,3305,65320.39319
555.0,4339,65338.770329
1125.0,8515,65364.735567
600.0,3193,65374.756227
525.0,4029,65388.281288
470.0,2935,65397.359091
540.0,3965,65409.229051
640.0,4099,65421.66792
600.0,3805,65433.25772
600.0,4101,65445.706921
575.0,4171,65458.261737
570.0,4321,65471.365985
690.0,4659,65485.370556
725.0,4105,65497.630758
625.0,3649,65508.820999
545.0,3668,65519.777978
865.0,5349,65535.81945
470.0,3933,65547.623676
545.0,3223,65557.606656
445.0,3669,65569.511136
445.0,4357,65583.302307
575.0,4097,65595.83319
655.0,3249,65605.768574
600.0,3753,65617.672865
755.0,3706,65629.388213
1050.0,7341,65659.044798
1490.0,7467,65682.624997
355.0,3205,65692.738369
930.0,7019,65714.820142
545.0,3905,65726.691767
800.0,3985,65739.138518
545.0,3997,65751.579242
605.0,4133,65764.181297
490.0,3341,65774.316787
660.0,3665,65785.393352
500.0,4499,65798.923208
470.0,3103,65808.176266
545.0,3814,65819.978625
600.0,3713,65831.479805
750.0,4003,65844.455039
940.0,5355,65861.679916
770.0,4113,65874.218681
630.0,4505,65891.439529
545.0,3395,65902.799733
440.0,3403,65914.219077
580.0,3502,65926.1623
605.0,3629,65938.067183
570.0,4405,65952.721186
695.0,3385,65963.770022
570.0,3849,65984.269689
560.0,4119,65997.665676
530.0,3735,66009.60526
1110.0,7561,66034.042433
460.0,3825,66045.61868
570.0,3925,66057.51262
905.0,7053,66079.13616
1465.0,6853,66100.382329
870.0,5823,66118.037099
495.0,4177,66131.105835
515.0,4397,66144.511367
600.0,4387,66157.83132
1325.0,6967,66179.313863
605.0,4141,66192.304624
795.0,5965,66210.220838
775.0,3978,66222.165017
550.0,3851,66233.887299
570.0,4002,66245.768134
475.0,3607,66256.656448
440.0,3509,66267.170102
230.0,2329,66274.222817
605.0,3523,66284.976418
520.0,3989,66304.838848
775.0,4489,66318.375313
1455.0,7514,66341.047276
470.0,3875,66352.68048
575.0,4271,66365.56238
745.0,3651,66376.426062
575.0,3831,66387.902842
520.0,4360,66401.043428
495.0,3371,66411.066088
545.0,3822,66422.335167
545.0,4112,66435.218516
490.0,2945,66444.021356
605.0,3625,66454.906713
1190.0,7389,66477.2692
555.0,4145,66490.315068
570.0,3683,66501.379767
500.0,2823,66510.314013
385.0,3135,66520.010952
605.0,4097,66532.734122
435.0,2879,66541.656327
720.0,4853,66556.786604
555.0,3891,66569.0666
600.0,3475,66579.825301
245.0,2587,66587.785587
605.0,3599,66599.041286
575.0,3401,66616.058859
990.0,6587,66636.084905
1175.0,7148,66658.345253
575.0,5365,66675.052757
900.0,6379,66694.307931
975.0,6899,66715.039497
780.0,7361,66737.95275
1385.0,7432,66760.441246
835.0,5381,66776.517896
725.0,3675,66787.70029
1010.0,4163,66800.131168
525.0,4304,66813.016839
685.0,4041,66825.210249
540.0,4080,66837.458304
1405.0,7021,66858.409122
545.0,3773,66869.993268
1700.0,7015,66891.308171
570.0,4190,66903.796772
1130.0,7663,66934.522591
575.0,4348,66947.713382
715.0,4019,66959.966403
505.0,4385,66973.193011
740.0,4147,66985.6
1165.0,6011,67003.797348
1170.0,4972,67018.887127
545.0,4623,67032.783494
440.0,3583,67043.363876
545.0,3637,67054.35411
570.0,4175,67067.044169
600.0,4087,67079.584237
800.0,4319,67092.667618
525.0,3747,67104.177638
575.0,3849,67115.805281
1630.0,9161,67144.360001
540.0,4583,67158.450373
1035.0,5675,67175.843322
480.0,3253,67185.593249
745.0,3251,67195.5598
800.0,4357,67209.172014
570.0,4421,67223.048777
1290.0,7625,67251.841166
440.0,4421,67265.458375
695.0,4797,67279.954939
805.0,3991,67291.914793
785.0,4869,67306.73223
775.0,4819,67321.217724
460.0,4327,67334.636134
575.0,3838,67346.012913
270.0,2479,67354.174792
600.0,3395,67365.487992
570.0,4167,67378.089281
1270.0,7267,67400.369706
465.0,3633,67411.384668
800.0,3777,67422.759026
570.0,3465,67433.20632
550.0,5025,67448.502307
940.0,5805,67466.076098
610.0,3853,67477.721013
770.0,3710,67488.893721
745.0,3951,67500.753126
1180.0,6655,67521.021312
515.0,4643,67534.893265
480.0,3941,67552.480125
570.0,3785,67564.211374
550.0,4361,67577.408839
570.0,3310,67587.477215
600.0,4697,67602.148973
