#{"t_start": 1757053935.2057338, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
310.0,2721,463.882013
120.0,2027,469.573912
50.0,1015,472.410663
420.0,3899,483.576948
110.0,1919,489.102389
20.0,1257,492.598642
105.0,1541,496.941226
120.0,1777,502.211856
110.0,1949,507.629992
215.0,2673,515.146161
80.0,1505,519.504753
45.0,1527,523.965855
490.0,2607,532.000505
105.0,1681,536.848483
210.0,2341,543.533662
135.0,1823,549.325995
155.0,2281,555.801582
210.0,2485,563.22701
55.0,1349,567.436809
75.0,1235,571.08427
240.0,2089,576.87559
75.0,1481,581.068928
120.0,1771,586.330143
55.0,1259,589.890127
200.0,2649,597.540203
60.0,1709,602.604223
125.0,1499,607.271434
105.0,1919,612.764981
105.0,1259,616.371885
210.0,2623,624.616305
135.0,2311,631.273914
90.0,1379,635.082958
155.0,2113,641.30964
230.0,4099,653.72607
140.0,2021,659.505078
110.0,1561,663.963637
105.0,1801,671.643907
150.0,2463,678.844596
125.0,1545,683.309377
620.0,3771,694.169497
135.0,2373,700.737596
155.0,2383,707.599131
110.0,1377,711.465554
155.0,1957,717.66399
160.0,2101,724.450581
350.0,2785,733.288772
325.0,3529,743.671771
495.0,3235,753.540674
155.0,2369,761.312793
135.0,1629,765.942491
340.0,2347,773.110346
105.0,1985,778.961462
120.0,2061,785.103021
20.0,1185,789.204179
160.0,2407,796.35849
460.0,3107,805.527263
90.0,2055,811.553459
140.0,1883,817.353139
125.0,2059,823.458236
120.0,2313,829.978985
180.0,2395,836.92349
210.0,2433,843.961016
520.0,4291,857.80167
335.0,2449,864.946066
210.0,2583,872.97461
90.0,1853,878.216828
225.0,2403,885.115739
55.0,1819,890.416078
120.0,2121,896.825391
120.0,2335,903.541969
105.0,1921,909.031554
105.0,1839,914.182676
135.0,2325,920.737457
155.0,2057,927.054868
100.0,1843,932.345183
315.0,2819,940.269713
105.0,1965,946.239729
145.0,2733,954.180447
70.0,1219,957.716157
125.0,2257,964.361007
110.0,1853,969.656079
645.0,3787,983.34484
75.0,1773,988.351176
110.0,2209,994.921426
105.0,2149,1000.929363
180.0,2425,1008.642984
305.0,2079,1014.634777
125.0,1813,1019.958252
80.0,1863,1025.26862
75.0,1765,1030.452676
125.0,2971,1039.131559
75.0,1207,1042.547795
240.0,3141,1052.019583
210.0,2685,1059.691506
165.0,2365,1066.40073
380.0,2467,1073.492618
165.0,2401,1080.444947
75.0,1603,1085.072763
165.0,2321,1091.901102
120.0,1887,1097.358139
210.0,2653,1104.861246
245.0,2947,1113.269771
135.0,2409,1120.020569
180.0,2475,1127.16784
155.0,2327,1133.82194
180.0,2557,1141.272732
240.0,2861,1149.679293
75.0,1311,1153.512544
95.0,1649,1158.329148
155.0,2393,1165.192169
115.0,1883,1170.687379
240.0,2847,1178.87624
100.0,1151,1182.118603
180.0,2379,1189.011338
170.0,2945,1197.63205
85.0,2041,1203.583433
210.0,2503,1211.794509
155.0,2421,1219.485664
180.0,2609,1227.361653
170.0,2375,1234.295412
105.0,1941,1239.938216
205.0,3403,1249.696429
285.0,3371,1259.492384
90.0,1921,1265.665246
40.0,1601,1270.693183
210.0,4143,1285.913036
160.0,2321,1292.711841
75.0,1897,1298.015966
155.0,2413,1304.882602
90.0,2175,1312.452923
365.0,2919,1322.118629
170.0,2385,1329.289876
80.0,1885,1334.824934
235.0,2367,1341.686417
135.0,1907,1347.086791
105.0,1167,1350.433336
160.0,2353,1357.917779
105.0,1381,1361.968609
380.0,2471,1369.287096
155.0,1721,1374.239213
460.0,5697,1392.550381
135.0,2361,1399.480573
105.0,2057,1405.412016
155.0,2359,1412.467154
210.0,2489,1419.810352
185.0,2561,1427.544228
50.0,1161,1431.275675
105.0,1929,1436.829292
210.0,2421,1443.759371
215.0,2439,1450.994342
135.0,2511,1458.571346
185.0,2395,1465.709115
115.0,1941,1471.472838
180.0,2383,1478.930826
150.0,2447,1487.497357
105.0,1961,1493.279735
135.0,2145,1499.432378
410.0,2515,1507.029242
155.0,2383,1514.266597
120.0,2365,1521.538713
160.0,2303,1528.267528
140.0,2345,1534.99924
75.0,1293,1538.786664
250.0,2915,1547.717103
130.0,1983,1553.318318
255.0,2849,1562.172842
115.0,2255,1569.3735
210.0,2433,1576.604454
210.0,2551,1583.999824
105.0,1903,1591.615898
120.0,1879,1596.99146
240.0,2549,1604.718209
210.0,2407,1611.544693
165.0,2389,1618.314607
210.0,2431,1625.734122
105.0,1941,1631.85274
120.0,1891,1637.466001
170.0,2885,1645.749269
285.0,3009,1654.754455
50.0,1177,1658.30944
105.0,1921,1664.045487
135.0,2367,1670.825415
410.0,2685,1679.504367
180.0,2811,1688.29393
75.0,2005,1694.60945
120.0,2293,1701.960947
105.0,1909,1708.390552
175.0,2313,1715.768899
180.0,2351,1723.512246
215.0,2781,1732.170508
155.0,2403,1739.528502
155.0,2373,1746.56152
50.0,1221,1750.098744
210.0,2383,1757.280824
210.0,2123,1763.534043
60.0,1153,1766.92373
105.0,1197,1770.400606
110.0,2203,1776.888499
210.0,2417,1784.062605
55.0,1321,1788.004071
160.0,2191,1794.518376
90.0,1969,1800.26358
145.0,2215,1806.884955
215.0,2601,1814.926116
345.0,2109,1820.896181
105.0,1993,1826.606989
90.0,1897,1831.911586
110.0,2303,1838.536486
330.0,3991,1849.941685
105.0,2057,1855.750362
155.0,2389,1862.741956
460.0,2897,1870.748684
30.0,1183,1874.102568
180.0,2481,1881.103416
